study_name,run_name,run_id,gif_path,png_path,vtk_available,status,final_time_s,x_puit,y_puit,x_buse,y_buse,y_gap_buse,x_gap_buse,x_plateau,ratio_surface,rho_ink,eta_0,eta_inf,sigma,lambda_carreau,n_carreau,CA_substrate,CA_wall_isolant_left,CA_wall_isolant_right,CA_top_isolant_left,CA_top_isolant_right,CA_buse_int_left,CA_buse_int_right,CA_buse_ext_left,CA_buse_ext_right,endTime,writeInterval,deltaT,maxCo
full_parametric_32,run_001_wall_isolant_left30_top_isolant_left30_eta00.5_eta_inf0.001_ratio_surface0.8,1,/home/erikeo29/17_RD_Ag_AgCl/40_AgCl_OpenFOAM/05_AgCl_OF_param_v5/results/full_parametric_32/gifs/run_001_wall_isolant_left30_top_isolant_left30_eta00.5_eta_inf0.001_ratio_surface0.8.gif,/home/erikeo29/17_RD_Ag_AgCl/40_AgCl_OpenFOAM/05_AgCl_OF_param_v5/results/full_parametric_32/png/run_001_wall_isolant_left30_top_isolant_left30_eta00.5_eta_inf0.001_ratio_surface0.8.png,True,OK,,0.8,0.128,0.3,0.273,0.06,0.0,0.4,0.7998,3000,0.5,0.001,0.04,,0.5,35,30,120,30,120,90,90,180,180,0.2,0.002,1e-06,0.3
full_parametric_32,run_002_wall_isolant_left30_top_isolant_left30_eta00.5_eta_inf0.001_ratio_surface1.2,2,/home/erikeo29/17_RD_Ag_AgCl/40_AgCl_OpenFOAM/05_AgCl_OF_param_v5/results/full_parametric_32/gifs/run_002_wall_isolant_left30_top_isolant_left30_eta00.5_eta_inf0.001_ratio_surface1.2.gif,/home/erikeo29/17_RD_Ag_AgCl/40_AgCl_OpenFOAM/05_AgCl_OF_param_v5/results/full_parametric_32/png/run_002_wall_isolant_left30_top_isolant_left30_eta00.5_eta_inf0.001_ratio_surface1.2.png,True,OK,,0.8,0.128,0.3,0.41,0.06,0.0,0.4,1.2012,3000,0.5,0.001,0.04,,0.5,35,30,120,30,120,90,90,180,180,0.2,0.002,1e-06,0.3
full_parametric_32,run_003_wall_isolant_left30_top_isolant_left30_eta00.5_eta_inf0.1_ratio_surface0.8,3,/home/erikeo29/17_RD_Ag_AgCl/40_AgCl_OpenFOAM/05_AgCl_OF_param_v5/results/full_parametric_32/gifs/run_003_wall_isolant_left30_top_isolant_left30_eta00.5_eta_inf0.1_ratio_surface0.8.gif,/home/erikeo29/17_RD_Ag_AgCl/40_AgCl_OpenFOAM/05_AgCl_OF_param_v5/results/full_parametric_32/png/run_003_wall_isolant_left30_top_isolant_left30_eta00.5_eta_inf0.1_ratio_surface0.8.png,True,OK,,0.8,0.128,0.3,0.273,0.06,0.0,0.4,0.7998,3000,0.5,0.1,0.04,,0.5,35,30,120,30,120,90,90,180,180,0.2,0.002,1e-06,0.3
full_parametric_32,run_004_wall_isolant_left30_top_isolant_left30_eta00.5_eta_inf0.1_ratio_surface1.2,4,/home/erikeo29/17_RD_Ag_AgCl/40_AgCl_OpenFOAM/05_AgCl_OF_param_v5/results/full_parametric_32/gifs/run_004_wall_isolant_left30_top_isolant_left30_eta00.5_eta_inf0.1_ratio_surface1.2.gif,/home/erikeo29/17_RD_Ag_AgCl/40_AgCl_OpenFOAM/05_AgCl_OF_param_v5/results/full_parametric_32/png/run_004_wall_isolant_left30_top_isolant_left30_eta00.5_eta_inf0.1_ratio_surface1.2.png,True,OK,,0.8,0.128,0.3,0.41,0.06,0.0,0.4,1.2012,3000,0.5,0.1,0.04,,0.5,35,30,120,30,120,90,90,180,180,0.2,0.002,1e-06,0.3
full_parametric_32,run_005_wall_isolant_left30_top_isolant_left30_eta01.5_eta_inf0.001_ratio_surface0.8,5,/home/erikeo29/17_RD_Ag_AgCl/40_AgCl_OpenFOAM/05_AgCl_OF_param_v5/results/full_parametric_32/gifs/run_005_wall_isolant_left30_top_isolant_left30_eta01.5_eta_inf0.001_ratio_surface0.8.gif,/home/erikeo29/17_RD_Ag_AgCl/40_AgCl_OpenFOAM/05_AgCl_OF_param_v5/results/full_parametric_32/png/run_005_wall_isolant_left30_top_isolant_left30_eta01.5_eta_inf0.001_ratio_surface0.8.png,True,OK,,0.8,0.128,0.3,0.273,0.06,0.0,0.4,0.7998,3000,1.5,0.001,0.04,,0.5,35,30,120,30,120,90,90,180,180,0.2,0.002,1e-06,0.3
full_parametric_32,run_006_wall_isolant_left30_top_isolant_left30_eta01.5_eta_inf0.001_ratio_surface1.2,6,/home/erikeo29/17_RD_Ag_AgCl/40_AgCl_OpenFOAM/05_AgCl_OF_param_v5/results/full_parametric_32/gifs/run_006_wall_isolant_left30_top_isolant_left30_eta01.5_eta_inf0.001_ratio_surface1.2.gif,/home/erikeo29/17_RD_Ag_AgCl/40_AgCl_OpenFOAM/05_AgCl_OF_param_v5/results/full_parametric_32/png/run_006_wall_isolant_left30_top_isolant_left30_eta01.5_eta_inf0.001_ratio_surface1.2.png,True,OK,,0.8,0.128,0.3,0.41,0.06,0.0,0.4,1.2012,3000,1.5,0.001,0.04,,0.5,35,30,120,30,120,90,90,180,180,0.2,0.002,1e-06,0.3
full_parametric_32,run_007_wall_isolant_left30_top_isolant_left30_eta01.5_eta_inf0.1_ratio_surface0.8,7,/home/erikeo29/17_RD_Ag_AgCl/40_AgCl_OpenFOAM/05_AgCl_OF_param_v5/results/full_parametric_32/gifs/run_007_wall_isolant_left30_top_isolant_left30_eta01.5_eta_inf0.1_ratio_surface0.8.gif,/home/erikeo29/17_RD_Ag_AgCl/40_AgCl_OpenFOAM/05_AgCl_OF_param_v5/results/full_parametric_32/png/run_007_wall_isolant_left30_top_isolant_left30_eta01.5_eta_inf0.1_ratio_surface0.8.png,True,OK,,0.8,0.128,0.3,0.273,0.06,0.0,0.4,0.7998,3000,1.5,0.1,0.04,,0.5,35,30,120,30,120,90,90,180,180,0.2,0.002,1e-06,0.3
full_parametric_32,run_008_wall_isolant_left30_top_isolant_left30_eta01.5_eta_inf0.1_ratio_surface1.2,8,/home/erikeo29/17_RD_Ag_AgCl/40_AgCl_OpenFOAM/05_AgCl_OF_param_v5/results/full_parametric_32/gifs/run_008_wall_isolant_left30_top_isolant_left30_eta01.5_eta_inf0.1_ratio_surface1.2.gif,/home/erikeo29/17_RD_Ag_AgCl/40_AgCl_OpenFOAM/05_AgCl_OF_param_v5/results/full_parametric_32/png/run_008_wall_isolant_left30_top_isolant_left30_eta01.5_eta_inf0.1_ratio_surface1.2.png,True,OK,,0.8,0.128,0.3,0.41,0.06,0.0,0.4,1.2012,3000,1.5,0.1,0.04,,0.5,35,30,120,30,120,90,90,180,180,0.2,0.002,1e-06,0.3
full_parametric_32,run_009_wall_isolant_left30_top_isolant_left60_eta00.5_eta_inf0.001_ratio_surface0.8,9,/home/erikeo29/17_RD_Ag_AgCl/40_AgCl_OpenFOAM/05_AgCl_OF_param_v5/results/full_parametric_32/gifs/run_009_wall_isolant_left30_top_isolant_left60_eta00.5_eta_inf0.001_ratio_surface0.8.gif,/home/erikeo29/17_RD_Ag_AgCl/40_AgCl_OpenFOAM/05_AgCl_OF_param_v5/results/full_parametric_32/png/run_009_wall_isolant_left30_top_isolant_left60_eta00.5_eta_inf0.001_ratio_surface0.8.png,True,OK,,0.8,0.128,0.3,0.273,0.06,0.0,0.4,0.7998,3000,0.5,0.001,0.04,,0.5,35,30,120,60,120,90,90,180,180,0.2,0.002,1e-06,0.3
full_parametric_32,run_010_wall_isolant_left30_top_isolant_left60_eta00.5_eta_inf0.001_ratio_surface1.2,10,/home/erikeo29/17_RD_Ag_AgCl/40_AgCl_OpenFOAM/05_AgCl_OF_param_v5/results/full_parametric_32/gifs/run_010_wall_isolant_left30_top_isolant_left60_eta00.5_eta_inf0.001_ratio_surface1.2.gif,/home/erikeo29/17_RD_Ag_AgCl/40_AgCl_OpenFOAM/05_AgCl_OF_param_v5/results/full_parametric_32/png/run_010_wall_isolant_left30_top_isolant_left60_eta00.5_eta_inf0.001_ratio_surface1.2.png,True,OK,,0.8,0.128,0.3,0.41,0.06,0.0,0.4,1.2012,3000,0.5,0.001,0.04,,0.5,35,30,120,60,120,90,90,180,180,0.2,0.002,1e-06,0.3
